Region_Name,Length_mm,Width_mm,Rotation_deg,Waypoints_Before_Optimization,Waypoints_After_Optimization,Coverage_Rate_percent
Small_Rect_0deg,200.0,150.0,0.0,1,1,100.0
Medium_Rect_0deg,400.0,250.0,0.0,1,1,100.0
Large_Rect_0deg,500.0,400.0,0.0,4,2,100.0
Small_Rect_15deg,200.2,150.3,164.9,1,1,100.0
Medium_Rect_15deg,400.4,250.6,164.9,1,1,100.0
Large_Rect_15deg,500.6,400.7,164.9,4,2,100.0
Small_Rect_30deg,200.4,150.6,149.8,1,1,100.0
Medium_Rect_30deg,400.7,251.2,149.8,1,1,100.0
Large_Rect_30deg,501.2,401.5,149.8,4,2,100.0
Small_Rect_45deg,200.7,150.9,45.3,1,1,100.0
Medium_Rect_45deg,401.1,251.8,45.3,1,1,100.0
Large_Rect_45deg,501.8,402.2,45.3,4,2,100.0
Small_Rect_60deg,200.4,150.6,30.2,1,1,100.0
Medium_Rect_60deg,400.7,251.2,30.2,1,1,100.0
Large_Rect_60deg,501.2,401.5,30.2,4,2,100.0
Trapezoid_1,234.0,201.0,174.0,1,1,100.0
Parallelogram_1,256.1,256.1,168.9,1,1,100.0
Irregular_Quad_1,256.1,256.1,168.9,1,1,100.0
L_Shape_Approx,286.6,200.9,176.0,1,1,100.0
Thin_Strip_2to1,400.0,100.0,0.0,1,1,100.0
Thin_Strip_4to1,600.0,50.0,0.0,2,1,100.0
Thin_Strip_6to1,700.0,40.0,0.0,2,1,100.0
